Id,Label,type
101,101,codigo
269,269,codigo
316,316,codigo
322,322,codigo
365,365,codigo
369,369,codigo
550,550,codigo
728,728,codigo
771,771,codigo
786,786,codigo
840,840,codigo
943,943,codigo
965,965,codigo
999,999,codigo
1003,1003,codigo
1108,1108,codigo
1119,1119,codigo
1160,1160,codigo
1173,1173,codigo
1252,1252,codigo
1262,1262,codigo
1271,1271,codigo
1598,1598,codigo
1604,1604,codigo
1678,1678,codigo
1719,1719,codigo
1950,1950,codigo
2438,2438,codigo
2515,2515,codigo
2553,2553,codigo
2593,2593,codigo
2670,2670,codigo
3037,3037,codigo
3055,3055,codigo
3061,3061,codigo
3097,3097,codigo
3178,3178,codigo
3221,3221,codigo
3240,3240,codigo
3289,3289,codigo
3510,3510,codigo
3556,3556,codigo
3738,3738,codigo
3805,3805,codigo
3834,3834,codigo
3978,3978,codigo
4043,4043,codigo
4057,4057,codigo
4111,4111,codigo
4153,4153,codigo
4252,4252,codigo
4304,4304,codigo
4349,4349,codigo
4363,4363,codigo
4453,4453,codigo
4463,4463,codigo
4596,4596,codigo
4611,4611,codigo
4784,4784,codigo
4841,4841,codigo
4859,4859,codigo
4863,4863,codigo
4888,4888,codigo
4900,4900,codigo
4943,4943,codigo
4953,4953,codigo
4983,4983,codigo
4991,4991,codigo
5023,5023,codigo
5155,5155,codigo
5200,5200,codigo
5220,5220,codigo
5229,5229,codigo
5329,5329,codigo
5364,5364,codigo
5400,5400,codigo
5520,5520,codigo
5628,5628,codigo
5633,5633,codigo
5719,5719,codigo
5795,5795,codigo
5808,5808,codigo
5882,5882,codigo
5923,5923,codigo
5959,5959,codigo
6031,6031,codigo
6041,6041,codigo
6052,6052,codigo
6324,6324,codigo
6439,6439,codigo
6440,6440,codigo
6456,6456,codigo
6470,6470,codigo
6551,6551,codigo
6627,6627,codigo
6810,6810,codigo
6905,6905,codigo
6983,6983,codigo
7012,7012,codigo
7085,7085,codigo
7130,7130,codigo
7324,7324,codigo
7413,7413,codigo
7419,7419,codigo
7466,7466,codigo
7489,7489,codigo
7509,7509,codigo
7592,7592,codigo
7672,7672,codigo
7673,7673,codigo
7755,7755,codigo
7771,7771,codigo
7856,7856,codigo
7857,7857,codigo
7923,7923,codigo
7958,7958,codigo
8033,8033,codigo
8061,8061,codigo
8079,8079,codigo
8178,8178,codigo
8249,8249,codigo
8292,8292,codigo
8418,8418,codigo
8517,8517,codigo
8532,8532,codigo
8612,8612,codigo
8727,8727,codigo
8843,8843,codigo
8914,8914,codigo
8925,8925,codigo
9251,9251,codigo
9286,9286,codigo
9310,9310,codigo
9473,9473,codigo
9475,9475,codigo
9557,9557,codigo
9776,9776,codigo
9939,9939,codigo
10036,10036,codigo
10040,10040,codigo
