Source;Target;Type;Weight
N760;101;Directed;1
negativo;101;Directed;0.8
no;101;Directed;1
16i;101;Directed;1
Presuntivo;101;Directed;0.8
Divorciado;101;Directed;1
32;101;Directed;1
zamora;101;Directed;1
N76.8;269;Directed;1
positivo;269;Directed;1
no;269;Directed;1
22i;269;Directed;1
Presuntivo;269;Directed;0.8
Casado;269;Directed;1
55;269;Directed;1
loja;269;Directed;1
N76.8;316;Directed;1
negativo;316;Directed;0.8
no;316;Directed;1
16i;316;Directed;1
Presuntivo;316;Directed;0.8
Casado;316;Directed;1
42;316;Directed;1
loja;316;Directed;1
N761;322;Directed;1
negativo;322;Directed;0.8
si;322;Directed;1
20i;322;Directed;1
Definitivo;322;Directed;1
Casado;322;Directed;1
38;322;Directed;1
loja;322;Directed;1
N76.8;365;Directed;1
negativo;365;Directed;0.8
si;365;Directed;1
15i;365;Directed;1
Definitivo;365;Directed;1
Union libre;365;Directed;1
28;365;Directed;1
loja;365;Directed;1
N95.2;369;Directed;1
positivo;369;Directed;1
si;369;Directed;1
25i;369;Directed;1
Definitivo;369;Directed;1
Casado;369;Directed;1
67;369;Directed;1
loja;369;Directed;1
N761;550;Directed;1
negativo;550;Directed;0.8
si;550;Directed;1
18i;550;Directed;1
Definitivo;550;Directed;1
Casado;550;Directed;1
34;550;Directed;1
loja;550;Directed;1
N760;728;Directed;1
negativo;728;Directed;0.8
no;728;Directed;1
15i;728;Directed;1
Definitivo;728;Directed;1
Union libre;728;Directed;1
27;728;Directed;1
loja;728;Directed;1
N760;771;Directed;1
negativo;771;Directed;0.8
no;771;Directed;1
20i;771;Directed;1
Definitivo;771;Directed;1
Casado;771;Directed;1
47;771;Directed;1
loja;771;Directed;1
N761;786;Directed;1
negativo;786;Directed;0.8
no;786;Directed;1
23i;786;Directed;1
Definitivo;786;Directed;1
Casado;786;Directed;1
47;786;Directed;1
loja;786;Directed;1
N76.8;840;Directed;1
negativo;840;Directed;0.8
no;840;Directed;1
22i;840;Directed;1
Presuntivo;840;Directed;0.8
Casado;840;Directed;1
51;840;Directed;1
loja;840;Directed;1
N760;943;Directed;1
negativo;943;Directed;0.8
no;943;Directed;1
19i;943;Directed;1
Presuntivo;943;Directed;0.8
Casado;943;Directed;1
39;943;Directed;1
loja;943;Directed;1
N760;965;Directed;1
negativo;965;Directed;0.8
no;965;Directed;1
19i;965;Directed;1
Presuntivo;965;Directed;0.8
Soltero;965;Directed;1
22;965;Directed;1
loja;965;Directed;1
N760;999;Directed;1
negativo;999;Directed;0.8
no;999;Directed;1
17i;999;Directed;1
Presuntivo;999;Directed;0.8
Soltero;999;Directed;1
30;999;Directed;1
loja;999;Directed;1
N76.8;1003;Directed;1
negativo;1003;Directed;0.8
si;1003;Directed;1
18i;1003;Directed;1
Definitivo;1003;Directed;1
Casado;1003;Directed;1
37;1003;Directed;1
loja;1003;Directed;1
N760;1108;Directed;1
negativo;1108;Directed;0.8
si;1108;Directed;1
18i;1108;Directed;1
Presuntivo;1108;Directed;0.8
Casado;1108;Directed;1
33;1108;Directed;1
loja;1108;Directed;1
N76.8;1119;Directed;1
negativo;1119;Directed;0.8
si;1119;Directed;1
27i;1119;Directed;1
Definitivo;1119;Directed;1
Casado;1119;Directed;1
41;1119;Directed;1
loja;1119;Directed;1
N76.8;1160;Directed;1
negativo;1160;Directed;0.8
no;1160;Directed;1
19i;1160;Directed;1
Presuntivo;1160;Directed;0.8
Soltero;1160;Directed;1
45;1160;Directed;1
loja;1160;Directed;1
N760;1173;Directed;1
negativo;1173;Directed;0.8
no;1173;Directed;1
17i;1173;Directed;1
Presuntivo;1173;Directed;0.8
Casado;1173;Directed;1
41;1173;Directed;1
loja;1173;Directed;1
N95.2;1252;Directed;1
negativo;1252;Directed;0.8
si;1252;Directed;1
16i;1252;Directed;1
Definitivo;1252;Directed;1
Casado;1252;Directed;1
63;1252;Directed;1
loja;1252;Directed;1
N95.2;1262;Directed;1
negativo;1262;Directed;0.8
no;1262;Directed;1
16i;1262;Directed;1
Definitivo;1262;Directed;1
Casado;1262;Directed;1
61;1262;Directed;1
loja;1262;Directed;1
N76.8;1271;Directed;1
negativo;1271;Directed;0.8
no;1271;Directed;1
15i;1271;Directed;1
Presuntivo;1271;Directed;0.8
Soltero;1271;Directed;1
34;1271;Directed;1
zamora;1271;Directed;1
N76.8;1598;Directed;1
negativo;1598;Directed;0.8
si;1598;Directed;1
19i;1598;Directed;1
Definitivo;1598;Directed;1
Soltero;1598;Directed;1
37;1598;Directed;1
loja;1598;Directed;1
N761;1604;Directed;1
negativo;1604;Directed;0.8
no;1604;Directed;1
24i;1604;Directed;1
Definitivo;1604;Directed;1
Union libre;1604;Directed;1
39;1604;Directed;1
loja;1604;Directed;1
N76.8;1678;Directed;1
negativo;1678;Directed;0.8
si;1678;Directed;1
16i;1678;Directed;1
Definitivo;1678;Directed;1
Soltero;1678;Directed;1
24;1678;Directed;1
loja;1678;Directed;1
N76.8;1719;Directed;1
negativo;1719;Directed;0.8
no;1719;Directed;1
19i;1719;Directed;1
Definitivo;1719;Directed;1
Casado;1719;Directed;1
61;1719;Directed;1
loja;1719;Directed;1
N76.8;1950;Directed;1
negativo;1950;Directed;0.8
si;1950;Directed;1
18i;1950;Directed;1
Presuntivo;1950;Directed;0.8
Casado;1950;Directed;1
48;1950;Directed;1
loja;1950;Directed;1
N760;2438;Directed;1
negativo;2438;Directed;0.8
si;2438;Directed;1
16i;2438;Directed;1
Definitivo;2438;Directed;1
Casado;2438;Directed;1
41;2438;Directed;1
loja;2438;Directed;1
N76.8;2515;Directed;1
negativo;2515;Directed;0.8
no;2515;Directed;1
28i;2515;Directed;1
Presuntivo;2515;Directed;0.8
Casado;2515;Directed;1
47;2515;Directed;1
loja;2515;Directed;1
N760;2553;Directed;1
negativo;2553;Directed;0.8
no;2553;Directed;1
20i;2553;Directed;1
Presuntivo;2553;Directed;0.8
Casado;2553;Directed;1
38;2553;Directed;1
loja;2553;Directed;1
N76.8;2593;Directed;1
positivo;2593;Directed;1
si;2593;Directed;1
18i;2593;Directed;1
Definitivo;2593;Directed;1
Casado;2593;Directed;1
63;2593;Directed;1
loja;2593;Directed;1
N760;2670;Directed;1
negativo;2670;Directed;0.8
no;2670;Directed;1
18i;2670;Directed;1
Presuntivo;2670;Directed;0.8
Soltero;2670;Directed;1
28;2670;Directed;1
loja;2670;Directed;1
N760;3037;Directed;1
negativo;3037;Directed;0.8
si;3037;Directed;1
17i;3037;Directed;1
Presuntivo;3037;Directed;0.8
Casado;3037;Directed;1
32;3037;Directed;1
loja;3037;Directed;1
N761;3055;Directed;1
negativo;3055;Directed;0.8
no;3055;Directed;1
19i;3055;Directed;1
Presuntivo;3055;Directed;0.8
Soltero;3055;Directed;1
27;3055;Directed;1
loja;3055;Directed;1
N95.2;3061;Directed;1
negativo;3061;Directed;0.8
no;3061;Directed;1
19i;3061;Directed;1
Definitivo;3061;Directed;1
Casado;3061;Directed;1
55;3061;Directed;1
loja;3061;Directed;1
N76.8;3097;Directed;1
positivo;3097;Directed;1
no;3097;Directed;1
23i;3097;Directed;1
Presuntivo;3097;Directed;0.8
Casado;3097;Directed;1
58;3097;Directed;1
loja;3097;Directed;1
N760;3178;Directed;1
negativo;3178;Directed;0.8
no;3178;Directed;1
18i;3178;Directed;1
Presuntivo;3178;Directed;0.8
Casado;3178;Directed;1
40;3178;Directed;1
loja;3178;Directed;1
N76.8;3221;Directed;1
negativo;3221;Directed;0.8
no;3221;Directed;1
15i;3221;Directed;1
Presuntivo;3221;Directed;0.8
Divorciado;3221;Directed;1
47;3221;Directed;1
loja;3221;Directed;1
N760;3240;Directed;1
negativo;3240;Directed;0.8
no;3240;Directed;1
16i;3240;Directed;1
Presuntivo;3240;Directed;0.8
Casado;3240;Directed;1
54;3240;Directed;1
loja;3240;Directed;1
N760;3289;Directed;1
negativo;3289;Directed;0.8
no;3289;Directed;1
17i;3289;Directed;1
Presuntivo;3289;Directed;0.8
Casado;3289;Directed;1
28;3289;Directed;1
loja;3289;Directed;1
N760;3510;Directed;1
negativo;3510;Directed;0.8
si;3510;Directed;1
18i;3510;Directed;1
Presuntivo;3510;Directed;0.8
Casado;3510;Directed;1
34;3510;Directed;1
loja;3510;Directed;1
N95.2;3556;Directed;1
positivo;3556;Directed;1
no;3556;Directed;1
24i;3556;Directed;1
Definitivo;3556;Directed;1
Divorciado;3556;Directed;1
54;3556;Directed;1
loja;3556;Directed;1
N760;3738;Directed;1
negativo;3738;Directed;0.8
si;3738;Directed;1
25i;3738;Directed;1
Presuntivo;3738;Directed;0.8
Union libre;3738;Directed;1
27;3738;Directed;1
loja;3738;Directed;1
N760;3805;Directed;1
negativo;3805;Directed;0.8
no;3805;Directed;1
17i;3805;Directed;1
Definitivo;3805;Directed;1
Soltero;3805;Directed;1
26;3805;Directed;1
loja;3805;Directed;1
N76.8;3834;Directed;1
positivo;3834;Directed;1
si;3834;Directed;1
18i;3834;Directed;1
Definitivo;3834;Directed;1
Divorciado;3834;Directed;1
48;3834;Directed;1
loja;3834;Directed;1
N76.8;3978;Directed;1
positivo;3978;Directed;1
no;3978;Directed;1
16i;3978;Directed;1
Definitivo;3978;Directed;1
Casado;3978;Directed;1
25;3978;Directed;1
loja;3978;Directed;1
N76.8;4043;Directed;1
positivo;4043;Directed;1
si;4043;Directed;1
22i;4043;Directed;1
Definitivo;4043;Directed;1
Union libre;4043;Directed;1
40;4043;Directed;1
loja;4043;Directed;1
N76.8;4057;Directed;1
negativo;4057;Directed;0.8
no;4057;Directed;1
19i;4057;Directed;1
Definitivo;4057;Directed;1
Union libre;4057;Directed;1
38;4057;Directed;1
loja;4057;Directed;1
N760;4111;Directed;1
positivo;4111;Directed;1
si;4111;Directed;1
23i;4111;Directed;1
Definitivo;4111;Directed;1
Casado;4111;Directed;1
39;4111;Directed;1
loja;4111;Directed;1
N76.8;4153;Directed;1
positivo;4153;Directed;1
no;4153;Directed;1
15i;4153;Directed;1
Presuntivo;4153;Directed;0.8
Soltero;4153;Directed;1
22;4153;Directed;1
loja;4153;Directed;1
N76.8;4252;Directed;1
negativo;4252;Directed;0.8
no;4252;Directed;1
18i;4252;Directed;1
Definitivo;4252;Directed;1
Soltero;4252;Directed;1
25;4252;Directed;1
loja;4252;Directed;1
N761;4304;Directed;1
negativo;4304;Directed;0.8
no;4304;Directed;1
19i;4304;Directed;1
Definitivo;4304;Directed;1
Casado;4304;Directed;1
64;4304;Directed;1
loja;4304;Directed;1
N76.8;4349;Directed;1
positivo;4349;Directed;1
no;4349;Directed;1
25i;4349;Directed;1
Definitivo;4349;Directed;1
Union libre;4349;Directed;1
38;4349;Directed;1
loja;4349;Directed;1
N95.2;4363;Directed;1
negativo;4363;Directed;0.8
no;4363;Directed;1
22i;4363;Directed;1
Definitivo;4363;Directed;1
Casado;4363;Directed;1
56;4363;Directed;1
loja;4363;Directed;1
N760;4453;Directed;1
negativo;4453;Directed;0.8
no;4453;Directed;1
17i;4453;Directed;1
Presuntivo;4453;Directed;0.8
Union libre;4453;Directed;1
27;4453;Directed;1
loja;4453;Directed;1
N761;4463;Directed;1
positivo;4463;Directed;1
no;4463;Directed;1
20i;4463;Directed;1
Definitivo;4463;Directed;1
Casado;4463;Directed;1
43;4463;Directed;1
loja;4463;Directed;1
N76.8;4596;Directed;1
positivo;4596;Directed;1
si;4596;Directed;1
14i;4596;Directed;1
Definitivo;4596;Directed;1
Divorciado;4596;Directed;1
28;4596;Directed;1
loja;4596;Directed;1
N76.8;4611;Directed;1
negativo;4611;Directed;0.8
no;4611;Directed;1
15i;4611;Directed;1
Presuntivo;4611;Directed;0.8
Soltero;4611;Directed;1
30;4611;Directed;1
loja;4611;Directed;1
N760;4784;Directed;1
negativo;4784;Directed;0.8
si;4784;Directed;1
19i;4784;Directed;1
Presuntivo;4784;Directed;0.8
Union libre;4784;Directed;1
42;4784;Directed;1
loja;4784;Directed;1
N761;4841;Directed;1
negativo;4841;Directed;0.8
si;4841;Directed;1
18i;4841;Directed;1
Definitivo;4841;Directed;1
Union libre;4841;Directed;1
34;4841;Directed;1
loja;4841;Directed;1
N76.8;4859;Directed;1
negativo;4859;Directed;0.8
no;4859;Directed;1
16i;4859;Directed;1
Presuntivo;4859;Directed;0.8
Casado;4859;Directed;1
30;4859;Directed;1
loja;4859;Directed;1
N76.8;4863;Directed;1
negativo;4863;Directed;0.8
si;4863;Directed;1
13i;4863;Directed;1
Definitivo;4863;Directed;1
Casado;4863;Directed;1
31;4863;Directed;1
loja;4863;Directed;1
N760;4888;Directed;1
negativo;4888;Directed;0.8
si;4888;Directed;1
17i;4888;Directed;1
Presuntivo;4888;Directed;0.8
Casado;4888;Directed;1
33;4888;Directed;1
loja;4888;Directed;1
N760;4900;Directed;1
negativo;4900;Directed;0.8
si;4900;Directed;1
24i;4900;Directed;1
Definitivo;4900;Directed;1
Casado;4900;Directed;1
47;4900;Directed;1
loja;4900;Directed;1
N76.8;4943;Directed;1
negativo;4943;Directed;0.8
no;4943;Directed;1
17i;4943;Directed;1
Definitivo;4943;Directed;1
Union libre;4943;Directed;1
30;4943;Directed;1
loja;4943;Directed;1
N760;4953;Directed;1
negativo;4953;Directed;0.8
no;4953;Directed;1
19i;4953;Directed;1
Presuntivo;4953;Directed;0.8
Soltero;4953;Directed;1
28;4953;Directed;1
loja;4953;Directed;1
N760;4983;Directed;1
negativo;4983;Directed;0.8
si;4983;Directed;1
18i;4983;Directed;1
Presuntivo;4983;Directed;0.8
Soltero;4983;Directed;1
34;4983;Directed;1
loja;4983;Directed;1
N760;4991;Directed;1
positivo;4991;Directed;1
si;4991;Directed;1
25i;4991;Directed;1
Presuntivo;4991;Directed;0.8
Casado;4991;Directed;1
40;4991;Directed;1
loja;4991;Directed;1
N760;5023;Directed;1
negativo;5023;Directed;0.8
si;5023;Directed;1
20i;5023;Directed;1
Presuntivo;5023;Directed;0.8
Casado;5023;Directed;1
49;5023;Directed;1
loja;5023;Directed;1
N76.8;5155;Directed;1
negativo;5155;Directed;0.8
si;5155;Directed;1
18i;5155;Directed;1
Definitivo;5155;Directed;1
Casado;5155;Directed;1
54;5155;Directed;1
zamora;5155;Directed;1
N760;5200;Directed;1
positivo;5200;Directed;1
si;5200;Directed;1
20i;5200;Directed;1
Presuntivo;5200;Directed;0.8
Casado;5200;Directed;1
46;5200;Directed;1
loja;5200;Directed;1
N76.8;5220;Directed;1
negativo;5220;Directed;0.8
si;5220;Directed;1
19i;5220;Directed;1
Definitivo;5220;Directed;1
Casado;5220;Directed;1
27;5220;Directed;1
loja;5220;Directed;1
N76.8;5229;Directed;1
negativo;5229;Directed;0.8
si;5229;Directed;1
22i;5229;Directed;1
Definitivo;5229;Directed;1
Casado;5229;Directed;1
66;5229;Directed;1
loja;5229;Directed;1
N76.8;5329;Directed;1
negativo;5329;Directed;0.8
si;5329;Directed;1
15i;5329;Directed;1
Definitivo;5329;Directed;1
Union libre;5329;Directed;1
34;5329;Directed;1
loja;5329;Directed;1
N760;5364;Directed;1
positivo;5364;Directed;1
no;5364;Directed;1
17i;5364;Directed;1
Presuntivo;5364;Directed;0.8
Casado;5364;Directed;1
46;5364;Directed;1
loja;5364;Directed;1
N76.8;5400;Directed;1
positivo;5400;Directed;1
si;5400;Directed;1
18i;5400;Directed;1
Presuntivo;5400;Directed;0.8
Casado;5400;Directed;1
56;5400;Directed;1
loja;5400;Directed;1
N95.2;5520;Directed;1
positivo;5520;Directed;1
no;5520;Directed;1
25i;5520;Directed;1
Presuntivo;5520;Directed;0.8
Viudo;5520;Directed;1
82;5520;Directed;1
loja;5520;Directed;1
N76.8;5628;Directed;1
negativo;5628;Directed;0.8
no;5628;Directed;1
16i;5628;Directed;1
Definitivo;5628;Directed;1
Union libre;5628;Directed;1
49;5628;Directed;1
loja;5628;Directed;1
N760;5633;Directed;1
negativo;5633;Directed;0.8
no;5633;Directed;1
25i;5633;Directed;1
Presuntivo;5633;Directed;0.8
Soltero;5633;Directed;1
66;5633;Directed;1
loja;5633;Directed;1
N760;5719;Directed;1
negativo;5719;Directed;0.8
si;5719;Directed;1
14i;5719;Directed;1
Presuntivo;5719;Directed;0.8
Casado;5719;Directed;1
36;5719;Directed;1
loja;5719;Directed;1
N95.2;5795;Directed;1
negativo;5795;Directed;0.8
no;5795;Directed;1
22i;5795;Directed;1
Presuntivo;5795;Directed;0.8
Casado;5795;Directed;1
82;5795;Directed;1
loja;5795;Directed;1
N76.8;5808;Directed;1
negativo;5808;Directed;0.8
si;5808;Directed;1
24i;5808;Directed;1
Definitivo;5808;Directed;1
Casado;5808;Directed;1
43;5808;Directed;1
loja;5808;Directed;1
N760;5882;Directed;1
negativo;5882;Directed;0.8
si;5882;Directed;1
16i;5882;Directed;1
Definitivo;5882;Directed;1
Union libre;5882;Directed;1
25;5882;Directed;1
loja;5882;Directed;1
N760;5923;Directed;1
negativo;5923;Directed;0.8
no;5923;Directed;1
26i;5923;Directed;1
Presuntivo;5923;Directed;0.8
Casado;5923;Directed;1
59;5923;Directed;1
zamora;5923;Directed;1
N95.2;5959;Directed;1
negativo;5959;Directed;0.8
si;5959;Directed;1
19i;5959;Directed;1
Definitivo;5959;Directed;1
Casado;5959;Directed;1
55;5959;Directed;1
loja;5959;Directed;1
N760;6031;Directed;1
negativo;6031;Directed;0.8
no;6031;Directed;1
22i;6031;Directed;1
Presuntivo;6031;Directed;0.8
Soltero;6031;Directed;1
34;6031;Directed;1
loja;6031;Directed;1
N95.2;6041;Directed;1
negativo;6041;Directed;0.8
si;6041;Directed;1
29i;6041;Directed;1
Definitivo;6041;Directed;1
Casado;6041;Directed;1
58;6041;Directed;1
zamora;6041;Directed;1
N95.2;6052;Directed;1
negativo;6052;Directed;0.8
si;6052;Directed;1
16i;6052;Directed;1
Definitivo;6052;Directed;1
Divorciado;6052;Directed;1
54;6052;Directed;1
loja;6052;Directed;1
N76.8;6324;Directed;1
negativo;6324;Directed;0.8
si;6324;Directed;1
20i;6324;Directed;1
Presuntivo;6324;Directed;0.8
Divorciado;6324;Directed;1
47;6324;Directed;1
loja;6324;Directed;1
N761;6439;Directed;1
negativo;6439;Directed;0.8
no;6439;Directed;1
20i;6439;Directed;1
Presuntivo;6439;Directed;0.8
Soltero;6439;Directed;1
33;6439;Directed;1
loja;6439;Directed;1
N760;6440;Directed;1
negativo;6440;Directed;0.8
no;6440;Directed;1
18i;6440;Directed;1
Definitivo;6440;Directed;1
Casado;6440;Directed;1
34;6440;Directed;1
loja;6440;Directed;1
N95.2;6456;Directed;1
negativo;6456;Directed;0.8
no;6456;Directed;1
27i;6456;Directed;1
Definitivo;6456;Directed;1
Casado;6456;Directed;1
54;6456;Directed;1
loja;6456;Directed;1
N760;6470;Directed;1
negativo;6470;Directed;0.8
no;6470;Directed;1
18i;6470;Directed;1
Presuntivo;6470;Directed;0.8
Casado;6470;Directed;1
41;6470;Directed;1
loja;6470;Directed;1
N760;6551;Directed;1
negativo;6551;Directed;0.8
no;6551;Directed;1
24i;6551;Directed;1
Presuntivo;6551;Directed;0.8
Casado;6551;Directed;1
39;6551;Directed;1
loja;6551;Directed;1
N76.8;6627;Directed;1
negativo;6627;Directed;0.8
si;6627;Directed;1
21i;6627;Directed;1
Definitivo;6627;Directed;1
Soltero;6627;Directed;1
33;6627;Directed;1
loja;6627;Directed;1
N76.8;6810;Directed;1
negativo;6810;Directed;0.8
si;6810;Directed;1
16i;6810;Directed;1
Definitivo;6810;Directed;1
Union libre;6810;Directed;1
35;6810;Directed;1
zamora;6810;Directed;1
N76.8;6905;Directed;1
negativo;6905;Directed;0.8
si;6905;Directed;1
20i;6905;Directed;1
Definitivo;6905;Directed;1
Soltero;6905;Directed;1
32;6905;Directed;1
zamora;6905;Directed;1
N76.8;6983;Directed;1
negativo;6983;Directed;0.8
no;6983;Directed;1
20i;6983;Directed;1
Definitivo;6983;Directed;1
Union libre;6983;Directed;1
45;6983;Directed;1
loja;6983;Directed;1
N76.8;7012;Directed;1
negativo;7012;Directed;0.8
si;7012;Directed;1
18i;7012;Directed;1
Definitivo;7012;Directed;1
Union libre;7012;Directed;1
31;7012;Directed;1
loja;7012;Directed;1
N760;7085;Directed;1
negativo;7085;Directed;0.8
si;7085;Directed;1
14i;7085;Directed;1
Definitivo;7085;Directed;1
Casado;7085;Directed;1
33;7085;Directed;1
zamora;7085;Directed;1
N76.8;7130;Directed;1
negativo;7130;Directed;0.8
si;7130;Directed;1
13i;7130;Directed;1
Presuntivo;7130;Directed;0.8
Union libre;7130;Directed;1
31;7130;Directed;1
loja;7130;Directed;1
N760;7324;Directed;1
negativo;7324;Directed;0.8
no;7324;Directed;1
18i;7324;Directed;1
Presuntivo;7324;Directed;0.8
Casado;7324;Directed;1
62;7324;Directed;1
loja;7324;Directed;1
N76.8;7413;Directed;1
negativo;7413;Directed;0.8
no;7413;Directed;1
19i;7413;Directed;1
Presuntivo;7413;Directed;0.8
Soltero;7413;Directed;1
30;7413;Directed;1
loja;7413;Directed;1
N95.2;7419;Directed;1
negativo;7419;Directed;0.8
no;7419;Directed;1
18i;7419;Directed;1
Definitivo;7419;Directed;1
Casado;7419;Directed;1
60;7419;Directed;1
loja;7419;Directed;1
N95.2;7466;Directed;1
negativo;7466;Directed;0.8
no;7466;Directed;1
20i;7466;Directed;1
Definitivo;7466;Directed;1
Casado;7466;Directed;1
60;7466;Directed;1
loja;7466;Directed;1
N76.8;7489;Directed;1
negativo;7489;Directed;0.8
si;7489;Directed;1
18i;7489;Directed;1
Definitivo;7489;Directed;1
Casado;7489;Directed;1
36;7489;Directed;1
loja;7489;Directed;1
N76.8;7509;Directed;1
negativo;7509;Directed;0.8
no;7509;Directed;1
15i;7509;Directed;1
Presuntivo;7509;Directed;0.8
Soltero;7509;Directed;1
37;7509;Directed;1
loja;7509;Directed;1
N95.2;7592;Directed;1
negativo;7592;Directed;0.8
no;7592;Directed;1
22i;7592;Directed;1
Presuntivo;7592;Directed;0.8
Viudo;7592;Directed;1
66;7592;Directed;1
loja;7592;Directed;1
N95.2;7672;Directed;1
positivo;7672;Directed;1
si;7672;Directed;1
22i;7672;Directed;1
Definitivo;7672;Directed;1
Casado;7672;Directed;1
66;7672;Directed;1
loja;7672;Directed;1
N76.8;7673;Directed;1
negativo;7673;Directed;0.8
no;7673;Directed;1
18i;7673;Directed;1
Definitivo;7673;Directed;1
Soltero;7673;Directed;1
28;7673;Directed;1
loja;7673;Directed;1
N95.2;7755;Directed;1
negativo;7755;Directed;0.8
no;7755;Directed;1
18i;7755;Directed;1
Definitivo;7755;Directed;1
Casado;7755;Directed;1
53;7755;Directed;1
loja;7755;Directed;1
N760;7771;Directed;1
negativo;7771;Directed;0.8
si;7771;Directed;1
20i;7771;Directed;1
Presuntivo;7771;Directed;0.8
Casado;7771;Directed;1
43;7771;Directed;1
loja;7771;Directed;1
N95.2;7856;Directed;1
negativo;7856;Directed;0.8
no;7856;Directed;1
17i;7856;Directed;1
Definitivo;7856;Directed;1
Casado;7856;Directed;1
59;7856;Directed;1
catamayo;7856;Directed;1
N76.8;7857;Directed;1
negativo;7857;Directed;0.8
no;7857;Directed;1
26i;7857;Directed;1
Presuntivo;7857;Directed;0.8
Casado;7857;Directed;1
49;7857;Directed;1
loja;7857;Directed;1
N760;7923;Directed;1
negativo;7923;Directed;0.8
no;7923;Directed;1
15i;7923;Directed;1
Presuntivo;7923;Directed;0.8
Casado;7923;Directed;1
52;7923;Directed;1
loja;7923;Directed;1
N760;7958;Directed;1
negativo;7958;Directed;0.8
no;7958;Directed;1
18i;7958;Directed;1
Presuntivo;7958;Directed;0.8
Casado;7958;Directed;1
38;7958;Directed;1
loja;7958;Directed;1
N76.8;8033;Directed;1
negativo;8033;Directed;0.8
si;8033;Directed;1
22i;8033;Directed;1
Presuntivo;8033;Directed;0.8
Casado;8033;Directed;1
44;8033;Directed;1
loja;8033;Directed;1
N76.8;8061;Directed;1
positivo;8061;Directed;1
no;8061;Directed;1
17i;8061;Directed;1
Presuntivo;8061;Directed;0.8
Casado;8061;Directed;1
64;8061;Directed;1
loja;8061;Directed;1
N95.2;8079;Directed;1
